Exercise Name,Main Muscle Groups,Experience Level,Focus Type,Equipment,Description,Tutorial
Bodyweight Wall Squat,"Upper Legs, Glutes, Lower Legs",Intermediate,"Strength, Compound",Body Only,No Description,"('Start by positioning your back flat up against the wall with arms crossed in front of you, feet out in front of you and knees slightly bent.', 'Slowly slide your torso down against the wall, lowering your glutes towards the ground until your thighs are parallel with the ground.', 'Hold for a count then return back to the starting position.', 'Repeat for as many reps and sets as desired.')"
Wrist Roller,Forearms,Beginner,"Strength, Isolation",Others,No Description,"('To begin, stand straight with feet shoulder length apart and grab a wrist roller using a palms down grip. ', 'Slowly lift both arms until they are fully extended and parallel to the floor in front of you. ', 'Rotate one wrist at a time in an upward motion to bring the weight up to the bar by rolling the rope around the roller.', 'Once the weight has reached the bar, slowly begin to lower the weight back down by rotating the wrist in a downward motion to the starting position.', 'Repeat for the desired number of reps and sets.')"
Cable Decline Chest Fly,"Chest, Chest",Intermediate,"Strength, Isolation, Strength",Machine - Strength,No Description,"('Start by setting up handles on two low pulley cable machines and placing a decline bench in between both machines.', 'Grab onto both handles with an overhand grip and lay down on the decline bench, keeping your back flat on the bench and feet underneath the foot rests.', 'Raise the handles above your head as this will be your starting position.', 'Slowly lower and extend your arms out to your sides, feeling a stretch in your chest and hold for a count.', 'Return back to the starting position and squeeze your chest.', 'Repeat for as many reps and sets as desired.')"
Forearm Plank with Hip Abduction,"Core, Back, Glutes",Intermediate,"Strength, Compound",Body Only,No Description,"('Start off on your hands and toes in a modified push-up position. Next, place both forearms on the ground and extend both legs transitioning to a plank.', 'Take one of your legs and bring them out to the side of your body (hip abduction), keeping it parallel to the floor, holding the position for a few seconds.', 'After feeling tension in your core, bring the leg back to the center and then return to the starting position.', 'Repeat this motion with the opposite leg and continue to alternate.', 'Perform as many reps and sets as desired.')"
Dumbbell Seated Front Raise,Shoulders,Beginner,"Strength, Isolation",Dumbbell,No Description,"('Start by sitting up straight at the end of a flat bench with your feet shoulder width apart, holding a dumbbell in each hand with an overhand grip at your sides.', 'Slowly elevate both of your arms up towards the ceiling, squeezing your shoulder and hold for a count.', 'Return back to the starting position.', 'Repeat for as many reps and sets as desired.')"
Dumbbell Hammer Shoulder Press,"Shoulders, Triceps",Intermediate,"Strength, Compound",Dumbbell,No Description,"('To begin this exercise; start off by taking a dumbbell in each hand and keep your arms extended down with your palms facing inward.', 'Take the dumbbells and slowly lift them until they are extended overhead.', 'Hold onto this position for a few seconds then lower the weights down into a 90-degree push position.', 'Repeat this exercise for as many repetitions as needed')"
Dumbbell Cuban Press,Shoulders,Intermediate,"Strength, Compound",Dumbbell,"The Dumbbell Cuban Press is an excellent exercise for targeting the shoulders, particularly the rotator cuff muscles, and enhancing shoulder stability and mobility","('Stand with your feet shoulder-width apart, holding a dumbbell in each hand', 'lift your elbows up and to the sides until the dumbbells are at shoulder height', 'Press the dumbbells overhead by extending your arms', 'Hold the top position for a brief moment to maximize the contraction in your shoulder muscles', 'Lower the dumbbells back down to the “goalpost” position by bending your elbows')"
Weight Plate Shrug,"Back, Shoulders, Forearms",Intermediate,"Strength, Isolation",Weight Plate,No Description,"('Start by standing up straight with your feet shoulder width apart and a slight bend in your knees, holding a weight plate in each hand and letting your arms hang down at your sides.', 'Once you have secured the weight plates in place, slowly shrug your shoulders as high as you can and hold the position for a count.', 'Return back to the starting position and repeat for as many reps and sets as desired.')"
Reverse Hyper (Flat Bench),"Glutes, Back, Core",Intermediate,"Strength, Compound",Bench,No Description,"('Begin by laying face down in a prone position on a bench with your toes touching the floor and legs extended out straight behind you.', 'Once in position, pull your legs up towards the ceiling until you feel tension in your glutes.', 'Hold for a two count before bringing your legs back down to the starting position.', 'Repeat for as many reps and sets as desired.')"
Dead Bug,"Core, Upper Legs, Back",Intermediate,"Strength, Compound",Body Only,Begin by lying flat on your back,()
Barbell Rear Military Press,"Shoulders, Triceps",Intermediate,"Strength, Compound",Barbell,No Description,"('Start by setting up a barbell with the weight that you would like to perform and stand up straight with your feet shoulder width apart.', 'Extend the barbell above your head as this will be your starting position.', 'Slowly lower the barbell behind your head and squeeze your shoulders.', 'Hold for a count then return back to the starting position.', 'Repeat for as many reps and sets as desired.')"
One-Arm Hang,"Back, Biceps",Beginner,,Pullup Bar,No Description,"('To begin this exercise; start off with one hand grabbing onto a pull-up bar with your palms facing outwards.', 'Keep your feet flat on the floor and put all of the weight upon your hand holding for 15 seconds.', 'Repeat this exercise for as many repetitions as needed.')"
Cable One-Arm Tricep Extension,Triceps,Beginner,"Strength, Isolation, Strength",Machine - Strength,No Description,"('Start by setting up a low cable pulley machine with a handle, then grab the handle and extend it above your head while turning away from the machine.', 'Keep your palm facing away from the machine and then lower the weight back behind your head, squeezing your tricep and hold for a count.', 'Return back to the starting position.', 'Repeat for as many reps and sets as desired.')"
Dumbbell Supinated One-Arm Wrist Curl,Forearms,Beginner,"Strength, Isolation",Dumbbell,No Description,"('To begin this exercise; take one dumbbell and sit down on the edge of a flat bench and keep your feet on the floor.', 'Take the dumbbell and bring it up so that your forearm and arm are rested on your knee; and the palm of your hand is facing up. ', 'Curl the dumbbells up, through your wrists until you feel a stretch in the muscle.', 'Hold this position for a count and then lower the dumbbell back to the starting position.', 'Repeat for as many reps and sets as desired.', 'Keep your forearms and legs still during the exercise.', 'You want to make sure that you are isolating and targeting the forearm muscle')"
